17:04:00 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":78,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634640,"text":"\\u0418"}}'"
17:04:00 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749010, 'timeout': 20}" and files "None"
17:04:01 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749010,\n"message":{"message_id":79,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634640,"text":"\\u0412"}}]}'"
17:04:01 | DEBUG | start_polling: 395 | Received 1 updates.
17:04:01 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'В'}" and files "None"
17:04:01 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":80,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634640,"text":"\\u0412"}}'"
17:04:01 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749011, 'timeout': 20}" and files "None"
17:04:01 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749011,\n"message":{"message_id":81,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634641,"text":"\\u041f"}}]}'"
17:04:01 | DEBUG | start_polling: 395 | Received 1 updates.
17:04:01 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'П'}" and files "None"
17:04:01 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749012, 'timeout': 20}" and files "None"
17:04:01 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":82,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634641,"text":"\\u041f"}}'"
17:04:09 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749012,\n"message":{"message_id":83,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634649,"text":"\\u041e\\u0430\\u0448\\u0432\\u0449\\u0442\\u0432\\u0442\\u0430\\u0442\\u0432\\u043b\\u0430\\u0449\\u0438\\u0430\\u0442\\u0430\\u043b\\u0430\\u043b\\u0430\\u043b\\u0430"}}]}'"
17:04:09 | DEBUG | start_polling: 395 | Received 1 updates.
17:04:09 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'Оашвщтвтатвлащиаталалала'}" and files "None"
17:04:09 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749013, 'timeout': 20}" and files "None"
17:04:09 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":84,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657634649,"text":"\\u041e\\u0430\\u0448\\u0432\\u0449\\u0442\\u0432\\u0442\\u0430\\u0442\\u0432\\u043b\\u0430\\u0449\\u0438\\u0430\\u0442\\u0430\\u043b\\u0430\\u043b\\u0430\\u043b\\u0430"}}'"
17:04:30 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
17:04:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749013, 'timeout': 20}" and files "None"
17:04:31 | INFO | stop_polling: 433 | Stop polling...
17:04:31 | WARNING | start_polling: 329 | Goodbye!
14:01:59 | DEBUG | __init__: 623 | Using proactor: IocpProactor
14:01:59 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
14:02:00 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
14:02:00 | INFO | _welcome: 362 | Bot: test [@kartoshka1019_bot]
14:02:00 | INFO | start_polling: 358 | Start polling.
14:02:00 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
14:02:00 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":3}}'"
14:02:00 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
14:02:00 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749013,\n"message":{"message_id":85,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657638075,"text":"."}},{"update_id":533749014,\n"message":{"message_id":86,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657638378,"text":"."}},{"update_id":533749015,\n"message":{"message_id":87,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657710101,"text":"kl"}}]}'"
14:02:00 | DEBUG | start_polling: 395 | Received 3 updates.
14:02:00 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': '.'}" and files "None"
14:02:00 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': '.'}" and files "None"
14:02:00 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'kl'}" and files "None"
14:02:00 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749016, 'timeout': 20}" and files "None"
14:02:00 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":88,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657710121,"text":"."}}'"
14:02:00 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":89,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657710121,"text":"."}}'"
14:02:01 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":90,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657710122,"text":"kl"}}'"
14:02:07 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":533749016,\n"message":{"message_id":91,"from":{"id":1172012859,"is_bot":false,"first_name":"\\u0414\\u0430\\u0448\\u0430","language_code":"ru"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657710128,"text":"lljl;"}}]}'"
14:02:07 | DEBUG | start_polling: 395 | Received 1 updates.
14:02:07 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1172012859, 'text': 'lljl;'}" and files "None"
14:02:07 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 533749017, 'timeout': 20}" and files "None"
14:02:07 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":92,"from":{"id":5417083958,"is_bot":true,"first_name":"test","username":"kartoshka1019_bot"},"chat":{"id":1172012859,"first_name":"\\u0414\\u0430\\u0448\\u0430","type":"private"},"date":1657710128,"text":"lljl;"}}'"
14:02:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
